Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-04-06 00:00:00-04:00,135.09197443583267,137.62860542131997,134.43188806515658,135.7520751953125,1056600,0.0,0.0
2020-04-07 00:00:00-04:00,139.59945271669125,142.44727062237544,137.44944868927024,137.76063537597656,902100,0.0,0.0
2020-04-08 00:00:00-04:00,137.4965932659114,143.86173982708561,136.86479525982915,142.39068603515625,571600,0.0,0.0
2020-04-09 00:00:00-04:00,143.95601369096048,146.42662841592073,142.02289263563455,142.88101196289062,573000,0.0,0.0
2020-04-13 00:00:00-04:00,142.93760731543352,144.05976129102007,136.99680146096557,138.26983642578125,470200,0.0,0.0
2020-04-14 00:00:00-04:00,141.53249777931683,143.41846621469065,140.46693539771277,141.65509033203125,537700,0.0,0.0
2020-04-15 00:00:00-04:00,137.90199609731334,138.88269320274543,135.11075690850726,137.10987854003906,451700,0.0,0.0
2020-04-16 00:00:00-04:00,137.29855286067925,138.82618318971285,134.95994087422537,138.4584197998047,496400,0.0,0.0
2020-04-17 00:00:00-04:00,141.70226961092743,144.87069776587475,141.58910169870788,144.02200317382812,550500,0.0,0.0
2020-04-20 00:00:00-04:00,141.9851520780239,144.3614621393677,139.83513464964864,142.93756103515625,389100,0.0,0.0
2020-04-21 00:00:00-04:00,139.63711747375027,141.77769587285903,138.33579452971432,140.15576171875,457400,0.0,0.0
2020-04-22 00:00:00-04:00,143.06015258041353,143.79567917352222,139.17504753172844,143.01300048828125,415800,0.0,0.0
2020-04-23 00:00:00-04:00,142.86212858904773,146.51147340799577,142.69239831318933,143.673095703125,536400,0.0,0.0
2020-04-24 00:00:00-04:00,138.0246167743944,145.41762512472025,135.44084882548924,144.0125732421875,772500,0.0,0.0
2020-04-27 00:00:00-04:00,145.94568725486607,148.33143643368263,144.29546469464444,147.37901306152344,543300,0.0,0.0
2020-04-28 00:00:00-04:00,149.46300744564695,152.87660591349177,147.08668304603881,148.7840576171875,496000,0.0,0.0
2020-04-29 00:00:00-04:00,150.87750985229863,152.43342841713022,147.90711463260175,148.87838745117188,470500,0.0,0.0
2020-04-30 00:00:00-04:00,147.31300763204166,147.34129600977167,144.2483086750384,144.8706817626953,660300,0.0,0.0
2020-05-01 00:00:00-04:00,142.984688039243,144.30486006390507,141.16472118867753,142.6640625,362400,0.0,0.0
2020-05-04 00:00:00-04:00,141.4476632567804,142.17376529036264,139.02418638635672,142.041748046875,406300,0.0,0.0
2020-05-05 00:00:00-04:00,144.05028027741506,145.0969934535018,142.8527005448465,143.12615966796875,346700,0.0,0.0
2020-05-06 00:00:00-04:00,143.69192638808167,144.3614370629088,141.68336558600842,143.05068969726562,512400,0.0,0.0
2020-05-07 00:00:00-04:00,145.3139092185096,146.36062253153025,144.1728917051516,144.65380859375,448200,0.0,0.0
